1,Durian Fruit,"Bypass L Subclav Art to Bi Up Arm Art w Nonaut Sub, Open",26.52
2,Pork Salted Bellies,"Revision of Ext Fix in R Metacarpophal Jt, Extern Approach",26.09
3,Ice Cream - Fudge Bars,"Transfer Left Shoulder Muscle, Open Approach",69.14
4,Spic And Span All Purpose,"Supplement R Int Jugular Vein with Nonaut Sub, Perc Approach",50.72
5,Puree - Blackcurrant,Eustach Tube Funct Assess w Acoust Immit/Reflex Equip,88.89
6,"Beans - Kidney, Red Dry","Supplement L Ankle Jt with Nonaut Sub, Perc Endo Approach",56.99
7,Evaporated Milk - Skim,"Removal of Nonaut Sub from R Finger Phalanx, Open Approach",15.87
8,Pepper - Red Thai,"Drainage of Tibial Nerve with Drain Dev, Perc Endo Approach",9.44
9,Muffin Mix - Morning Glory,"Reposition Portal Vein, Percutaneous Approach",61.83
10,Island Oasis - Cappucino Mix,"Drainage of Epidural Space, Percutaneous Approach, Diagn",54.56
11,Blackberries,"Supplement R Metatarsophal Jt with Autol Sub, Perc Approach",91.03
12,Venison - Striploin,"Destruction of Left Temporal Artery, Percutaneous Approach",6.64
13,Kolrabi,"Extirpation of Matter from L Up Leg Muscle, Open Approach",98.04
14,Cheese - Oka,"Replace of L Brach Vein with Synth Sub, Perc Endo Approach",15.41
15,Bag - Regular Kraft 20 Lb,"Drain of R Toe Phalanx Jt with Drain Dev, Perc Endo Approach",83.32
16,Juice - Ocean Spray Kiwi,"Dilation of Face Artery with 4 Drug-elut, Open Approach",27.14
17,"Garlic - Primerba, Paste","Supplement Right Inner Ear with Nonaut Sub, Open Approach",79.73
18,Spaghetti Squash,"Removal of Ext Fix from R Up Femur, Extern Approach",80.44
19,Bread - Olive Dinner Roll,"Supplement Right Ureter with Synth Sub, Via Opening",91.46
20,Venison - Liver,"Drainage of Right Carpal Joint, Perc Endo Approach, Diagn",38.68